 发送 0x5591e18ad560Send pkt#40         发送 path Id: 0         data size 1466         发送总数据量92        时间: 2195892738
 发送 0x5591e18ad560Send pkt#4         发送 path Id: 2         data size 7         发送总数据量92        时间: 2197789976
         接收 0x5591e18ad560Recv pkt#2         pathId: 2         data size 7        接收总数据量 99        时间: 2197815093
 发送 0x5591e18ad560Send pkt#4         发送 path Id: 1         data size 7         发送总数据量99        时间: 2198529219
         接收 0x5591e18ad560Recv pkt#2         pathId: 1         data size 7        接收总数据量 106        时间: 2198554399
         接收 0x5591e18ad560Recv pkt#12         pathId: 0         data size 6        接收总数据量 112        时间: 2199589571
 发送 0x5591e18ad560Send pkt#41         发送 path Id: 0         data size 6         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#42         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#43         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#44         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#45         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#46         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#47         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#48         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#49         发送 path Id: 0         data size 1471         发送总数据量112        时间: 2199589572
 发送 0x5591e18ad560Send pkt#50         发送 path Id: 0         data size 1466         发送总数据量112        时间: 2199589572
         接收 0x5591e18ad560Recv pkt#13         pathId: 0         data size 6        接收总数据量 118        时间: 2203289074
 发送 0x5591e18ad560Send pkt#5         发送 path Id: 2         data size 1467         发送总数据量118        时间: 2207815093
 发送 0x5591e18ad560Send pkt#5         发送 path Id: 1         data size 1467         发送总数据量118        时间: 2208554399
         接收 0x5591e18ad560Recv pkt#14         pathId: 0         data size 6        接收总数据量 124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#51         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#52         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#53         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#54         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#55         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#56         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#57         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#58         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#59         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#60         发送 path Id: 0         data size 1472         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#61         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#62         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#63         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#64         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#65         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#66         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#67         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
 发送 0x5591e18ad560Send pkt#68         发送 path Id: 0         data size 1467         发送总数据量124        时间: 2212203975
         接收 0x5591e18ad560Recv pkt#15         pathId: 0         data size 11        接收总数据量 135        时间: 2221001067
 发送 0x5591e18ad560Send pkt#69         发送 path Id: 0         data size 6         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#70         发送 path Id: 0         data size 1466         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#71         发送 path Id: 0         data size 1471         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#72         发送 path Id: 0         data size 1466         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#73         发送 path Id: 0         data size 1466         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#74         发送 path Id: 0         data size 1466         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#75         发送 path Id: 0         data size 1466         发送总数据量135        时间: 2221001068
 发送 0x5591e18ad560Send pkt#6         发送 path Id: 2         data size 7         发送总数据量135        时间: 2222815093
 发送 0x5591e18ad560Send pkt#6         发送 path Id: 1         data size 7         发送总数据量135        时间: 2223554399
